Surface_ID,Active_Site,HO,O,dG_HO,dG_O,dG_OOH,dG_1,dG_2,dG_3,dG_4,Overpotential_V,Electronegativity,Radius_pm,Valence_e
1-CrMnFeCoNi-HEO-Co-site,Co,0.947353249999992,3.16746997000001,1.297353249999992,3.21746997000001,4.497353249999993,1.297353249999992,1.920116720000018,1.2798832799999826,0.4226467500000073,0.690116720000018,1.88,125.0,9.0
100-NiCrFeCoMn-HEO-Co-site,Co,1.30404311999999,3.24199087,1.65404311999999,3.29199087,4.85404311999999,1.65404311999999,1.6379477500000097,1.5620522499999905,0.06595688000000965,0.4240431199999901,1.88,125.0,9.0
101-NiCrCoMnFe-HEO-Co-site,Co,1.45285658999998,3.43671964999999,1.8028565899999798,3.4867196499999897,5.00285658999998,1.8028565899999798,1.68386306000001,1.5161369399999902,-0.08285658999998002,0.5728565899999798,1.88,125.0,9.0
103-NiMnCrFeCo-HEO-Co-site,Co,1.32663357999999,3.40311041000001,1.67663357999999,3.4531104100000096,4.87663357999999,1.67663357999999,1.7764768300000195,1.4235231699999806,0.043366420000009676,0.5464768300000196,1.88,125.0,9.0
104-NiMnCrCoFe-HEO-Co-site,Co,1.46196117999997,3.43081848,1.8119611799999702,3.48081848,5.01196117999997,1.8119611799999702,1.6688573000000297,1.53114269999997,-0.09196117999997,0.5819611799999702,1.88,125.0,9.0
106-NiMnFeCoCr-HEO-Co-site,Co,1.16408202999997,3.09667112,1.5140820299999698,3.1466711199999997,4.71408202999997,1.5140820299999698,1.63258909000003,1.5674109099999702,0.20591797000002998,0.40258909000002996,1.88,125.0,9.0
107-NiMnCoCrFe-HEO-Co-site,Co,1.14187688999999,3.17373967999998,1.4918768899999901,3.22373967999998,4.691876889999991,1.4918768899999901,1.7318627899999899,1.4681372100000107,0.22812311000000918,0.5018627899999899,1.88,125.0,9.0
108-NiMnCoFeCr-HEO-Co-site,Co,1.12625055999999,3.13520454000002,1.4762505599999898,3.18520454000002,4.67625055999999,1.4762505599999898,1.7089539800000302,1.49104601999997,0.24374944000000998,0.4789539800000302,1.88,125.0,9.0
109-NiFeCrMnCo-HEO-Co-site,Co,1.22910936,,1.57910936,,4.77910936,1.57910936,,,0.1408906400000003,0.3491093599999999,1.88,125.0,9.0
11-CrFeNiMnCo-HEO-Co-site,Co,1.79421413999998,3.26250694000001,2.14421413999998,3.31250694000001,5.3442141399999805,2.14421413999998,1.1682928000000299,2.0317071999999707,-0.4242141399999806,0.9142141399999799,1.88,125.0,9.0
110-NiFeCrCoMn-HEO-Co-site,Co,1.49269575999998,3.53640010000001,1.8426957599999798,3.58640010000001,5.0426957599999795,1.8426957599999798,1.74370434000003,1.4562956599999697,-0.12269575999997961,0.6126957599999798,1.88,125.0,9.0
111-NiFeMnCrCo-HEO-Co-site,Co,1.15423115999999,3.12551715000001,1.50423115999999,3.17551715000001,4.70423115999999,1.50423115999999,1.6712859900000199,1.5287140099999803,0.21576884000000973,0.4412859900000199,1.88,125.0,9.0
112-NiFeMnCoCr-HEO-Co-site,Co,1.38158939999997,3.33283595999998,1.73158939999997,3.38283595999998,4.93158939999997,1.73158939999997,1.65124656000001,1.5487534399999898,-0.011589399999969885,0.5015893999999701,1.88,125.0,9.0
113-NiFeCoCrMn-HEO-Co-site,Co,1.23512378000001,3.26141535000002,1.5851237800000102,3.31141535000002,4.78512378000001,1.5851237800000102,1.7262915700000097,1.47370842999999,0.13487621999999,0.4962915700000097,1.88,125.0,9.0
114-NiFeCoMnCr-HEO-Co-site,Co,0.630133729999983,2.70600688000002,0.9801337299999829,2.7560068800000197,4.180133729999983,0.9801337299999829,1.7758731500000366,1.424126849999963,0.7398662700000171,0.5458731500000367,1.88,125.0,9.0
115-NiCoCrMnFe-HEO-Co-site,Co,1.67657057999998,3.34378341999999,2.02657057999998,3.39378341999999,5.22657057999998,2.02657057999998,1.3672128400000099,1.8327871599999903,-0.3065705799999803,0.79657057999998,1.88,125.0,9.0
116-NiCoCrFeMn-HEO-Co-site,Co,1.21014258999998,3.23912289,1.56014258999998,3.28912289,4.76014258999998,1.56014258999998,1.72898030000002,1.4710196999999798,0.1598574100000203,0.4989803000000199,1.88,125.0,9.0
117-NiCoMnCrFe-HEO-Co-site,Co,1.18554316999999,3.21272931000001,1.5355431699999902,3.26272931000001,4.735543169999991,1.5355431699999902,1.7271861400000197,1.472813859999981,0.18445683000000912,0.4971861400000197,1.88,125.0,9.0
118-NiCoMnFeCr-HEO-Co-site,Co,1.42015941,3.35460305000001,1.7701594099999998,3.4046030500000097,4.97015941,1.7701594099999998,1.63444364000001,1.5655563599999902,-0.050159410000000015,0.5401594099999998,1.88,125.0,9.0
119-NiCoFeCrMn-HEO-Co-site,Co,1.06506537999999,3.10773363000001,1.41506537999999,3.15773363000001,4.61506537999999,1.41506537999999,1.74266825000002,1.4573317499999803,0.3049346200000098,0.5126682500000199,1.88,125.0,9.0
12-CrFeNiCoMn-HEO-Co-site,Co,1.38820895000001,3.37013679,1.73820895000001,3.42013679,4.938208950000011,1.73820895000001,1.68192783999999,1.5180721600000107,-0.01820895000001066,0.50820895000001,1.88,125.0,9.0
120-NiCoFeMnCr-HEO-Co-site,Co,1.44627491999998,,1.7962749199999801,,4.99627491999998,1.7962749199999801,,,-0.07627491999997993,0.5662749199999801,1.88,125.0,9.0
13-CrCoMnFeNi-HEO-Co-site,Co,1.14632680999998,3.10917206000002,1.4963268099999798,3.15917206000002,4.69632680999998,1.4963268099999798,1.6628452500000401,1.53715474999996,0.22367319000001995,0.43284525000004015,1.88,125.0,9.0
14-CrCoMnNiFe-HEO-Co-site,Co,1.38506570999999,3.38424259000001,1.73506570999999,3.43424259000001,4.93506570999999,1.73506570999999,1.69917688000002,1.5008231199999802,-0.01506570999999024,0.50506570999999,1.88,125.0,9.0
17-CrCoNiMnFe-HEO-Co-site,Co,1.60031561,3.61989541000003,1.95031561,3.66989541000003,5.15031561,1.95031561,1.7195798000000297,1.48042019999997,-0.2303156099999999,0.7203156100000001,1.88,125.0,9.0
18-CrCoNiFeMn-HEO-Co-site,Co,0.999239969999991,3.03333477000001,1.3492399699999909,3.0833347700000098,4.5492399699999915,1.3492399699999909,1.734094800000019,1.4659051999999817,0.37076003000000846,0.5040948000000189,1.88,125.0,9.0
19-CrNiMnFeCo-HEO-Co-site,Co,1.19938756999997,3.22685138,1.5493875699999702,3.2768513799999996,4.74938756999997,1.5493875699999702,1.7274638100000295,1.4725361899999707,0.17061243000002957,0.4974638100000295,1.88,125.0,9.0
2-CrMnFeNiCo-HEO-Co-site,Co,1.26189292999999,3.64798018000002,1.61189292999999,3.6979801800000196,4.81189292999999,1.61189292999999,2.0860872500000296,1.1139127499999706,0.10810707000000974,0.8560872500000296,1.88,125.0,9.0
20-CrNiMnCoFe-HEO-Co-site,Co,1.45066393999997,3.46727242,1.80066393999997,3.51727242,5.000663939999971,1.80066393999997,1.7166084800000299,1.4833915199999708,-0.08066393999997068,0.57066393999997,1.88,125.0,9.0
21-CrNiFeMnCo-HEO-Co-site,Co,1.38157941999998,3.39403293000001,1.73157941999998,3.44403293000001,4.931579419999981,1.73157941999998,1.7124535100000298,1.4875464899999709,-0.0115794199999808,0.5015794199999801,1.88,125.0,9.0
23-CrNiCoMnFe-HEO-Co-site,Co,1.51614190999999,3.52062930000002,1.8661419099999899,3.5706293000000198,5.06614190999999,1.8661419099999899,1.70448739000003,1.4955126099999703,-0.1461419099999901,0.6361419099999899,1.88,125.0,9.0
24-CrNiCoFeMn-HEO-Co-site,Co,0.937801639999975,2.95530919999999,1.287801639999975,3.00530919999999,4.487801639999975,1.287801639999975,1.717507560000015,1.482492439999985,0.432198360000025,0.48750756000001494,1.88,125.0,9.0
25-MnCrFeCoNi-HEO-Co-site,Co,1.55644053999998,3.38095421,1.9064405399999802,3.43095421,5.10644053999998,1.9064405399999802,1.5245136700000197,1.67548632999998,-0.18644053999998,0.6764405399999802,1.88,125.0,9.0
26-MnCrFeNiCo-HEO-Co-site,Co,0.525046259999982,2.58490323000001,0.875046259999982,2.6349032300000097,4.075046259999982,0.875046259999982,1.7598569700000277,1.4401430299999722,0.844953740000018,0.5298569700000277,1.88,125.0,9.0
27-MnCrCoFeNi-HEO-Co-site,Co,1.27316311999999,3.18410646000001,1.6231631199999899,3.23410646000001,4.82316311999999,1.6231631199999899,1.61094334000002,1.5890566599999798,0.09683688000001034,0.3931631199999899,1.88,125.0,9.0
29-MnCrNiFeCo-HEO-Co-site,Co,1.13057906,3.19261835,1.4805790600000002,3.24261835,4.68057906,1.4805790600000002,1.7620392899999997,1.4379607100000005,0.23942093999999958,0.5320392899999997,1.88,125.0,9.0
3-CrMnCoFeNi-HEO-Co-site,Co,1.17589100999999,3.19831597999999,1.5258910099999898,3.24831597999999,4.72589100999999,1.5258910099999898,1.72242497,1.4775750300000001,0.19410899000000992,0.4924249700000001,1.88,125.0,9.0
30-MnCrNiCoFe-HEO-Co-site,Co,1.77522876999998,3.75229375000001,2.12522876999998,3.80229375000001,5.32522876999998,2.12522876999998,1.6770649800000297,1.5229350199999705,-0.40522876999998036,0.8952287699999801,1.88,125.0,9.0
31-MnFeCrCoNi-HEO-Co-site,Co,1.73307306000001,3.30134226000001,2.08307306000001,3.35134226000001,5.28307306000001,2.08307306000001,1.2682691999999998,1.9317308000000004,-0.3630730600000103,0.85307306000001,1.88,125.0,9.0
32-MnFeCrNiCo-HEO-Co-site,Co,1.03357167999999,2.72648325,1.38357167999999,2.7764832499999996,4.58357167999999,1.38357167999999,1.3929115700000096,1.80708842999999,0.3364283200000102,0.5770884299999901,1.88,125.0,9.0
34-MnFeCoNiCr-HEO-Co-site,Co,1.46279672,3.49441405000002,1.8127967200000001,3.54441405000002,5.012796720000001,1.8127967200000001,1.7316173300000197,1.468382669999981,-0.09279672000000083,0.5827967200000002,1.88,125.0,9.0
35-MnFeNiCrCo-HEO-Co-site,Co,1.04592276999998,,1.3959227699999799,,4.59592276999998,1.3959227699999799,,,0.32407723000001987,0.1659227699999799,1.88,125.0,9.0
36-MnFeNiCoCr-HEO-Co-site,Co,2.10507444999999,3.64069832999999,2.45507444999999,3.69069832999999,5.65507444999999,2.45507444999999,1.23562388,1.9643761200000003,-0.7350744499999902,1.22507444999999,1.88,125.0,9.0
37-MnCoCrFeNi-HEO-Co-site,Co,1.10185164999999,3.15222066000001,1.4518516499999898,3.20222066000001,4.6518516499999905,1.4518516499999898,1.75036901000002,1.4496309899999806,0.26814835000000947,0.52036901000002,1.88,125.0,9.0
38-MnCoCrNiFe-HEO-Co-site,Co,1.33124192,3.32552054000001,1.6812419200000002,3.37552054000001,4.881241920000001,1.6812419200000002,1.6942786200000097,1.505721379999991,0.03875807999999914,0.46427862000000975,1.88,125.0,9.0
4-CrMnCoNiFe-HEO-Co-site,Co,1.01923341,3.08419928000001,1.36923341,3.13419928000001,4.569233410000001,1.36923341,1.76496587000001,1.4350341299999907,0.3507665899999992,0.53496587000001,1.88,125.0,9.0
41-MnCoNiCrFe-HEO-Co-site,Co,1.43586955000001,3.43846777000002,1.78586955000001,3.4884677700000197,4.98586955000001,1.78586955000001,1.7025982200000098,1.4974017799999904,-0.06586955000001016,0.5558695500000099,1.88,125.0,9.0
42-MnCoNiFeCr-HEO-Co-site,Co,1.24742920999998,3.27304888999998,1.59742920999998,3.32304888999998,4.79742920999998,1.59742920999998,1.7256196799999999,1.4743803200000003,0.12257079000001969,0.4956196799999999,1.88,125.0,9.0
43-MnNiCrFeCo-HEO-Co-site,Co,1.21945209,3.26342642,1.56945209,3.31342642,4.76945209,1.56945209,1.74397433,1.4560256699999998,0.15054791000000023,0.5139743299999999,1.88,125.0,9.0
45-MnNiFeCrCo-HEO-Co-site,Co,1.01547804999998,3.12415418000001,1.3654780499999801,3.1741541800000097,4.56547804999998,1.3654780499999801,1.8086761300000296,1.3913238699999702,0.35452195000002007,0.5786761300000296,1.88,125.0,9.0
46-MnNiFeCoCr-HEO-Co-site,Co,1.77793678999998,3.46481519,2.12793678999998,3.5148151899999998,5.32793678999998,2.12793678999998,1.3868784000000196,1.8131215999999806,-0.4079367899999804,0.8979367899999802,1.88,125.0,9.0
